标签名,位置A行号,位置A路径,位置B行号,位置B路径,后代数A,后代数B,重叠度
披肩,11096,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/披风/披肩,11097,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/披风/披肩,1,1,1.0
通风机,11501,V2融合世界标签体系/通用分类标签/人造物体/通风机,11502,V2融合世界标签体系/通用分类标签/人造物体/通风机,1,1,1.0
人行横道,11508,V2融合世界标签体系/通用分类标签/人造物体/道路/小径/人行横道,11510,V2融合世界标签体系/通用分类标签/人造物体/道路/小径/人行横道,1,1,1.0
加拿大马鹿,12440,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/鹿/加拿大马鹿,12442,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/鹿/加拿大马鹿,1,1,1.0
加拿大马鹿,12440,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/鹿/加拿大马鹿,12443,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/鹿/加拿大马鹿,1,1,1.0
加拿大马鹿,12442,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/鹿/加拿大马鹿,12443,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/鹿/加拿大马鹿,1,1,1.0
鸭,14074,V2融合世界标签体系/通用分类标签/动物/鸟类/家禽/鸭,14075,V2融合世界标签体系/通用分类标签/动物/鸟类/家禽/鸭,1,1,1.0
小雄驹,15078,V2融合世界标签体系/通用分类标签/动物/后代/幼年哺乳动物/雏马/小雄驹,15576,V2融合世界标签体系/通用分类标签/动物/雄性/小雄驹,1,1,1.0
主教座堂,17060,V2融合世界标签体系/通用分类标签/建筑与基础设施/宗教祭祀建筑/教堂/主教座堂,17061,V2融合世界标签体系/通用分类标签/建筑与基础设施/宗教祭祀建筑/教堂/主教座堂,1,1,1.0
修道院回廊,17402,V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/住所/修道院回廊,17476,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/住所/修道院回廊,1,1,1.0
教区牧师住宅,17407,V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/住所/教区牧师住宅,17481,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/住所/教区牧师住宅,1,1,1.0
小木屋,17419,V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/小木屋,17493,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/小木屋,1,1,1.0
休息室,17666,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/休息室,17667,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/休息室,1,1,1.0
画廊,17780,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/画廊,17782,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/画廊,1,1,1.0
钟塔,17854,V2融合世界标签体系/通用分类标签/建筑与基础设施/塔/钟塔,17856,V2融合世界标签体系/通用分类标签/建筑与基础设施/塔/钟塔,1,1,1.0
赌场,18093,V2融合世界标签体系/通用分类标签/建筑与基础设施/机构/商业机构/赌场,18248,V2融合世界标签体系/通用分类标签/建筑与基础设施/赌场,1,1,1.0
沙雕,18649,V2融合世界标签体系/通用分类标签/文化艺术与媒介/视觉艺术/雕塑/沙雕,18650,V2融合世界标签体系/通用分类标签/文化艺术与媒介/视觉艺术/雕塑/沙雕,1,1,1.0
复印件,19093,V2融合世界标签体系/通用分类标签/文化艺术与媒介/表征/副本/复印件,19116,V2融合世界标签体系/通用分类标签/文化艺术与媒介/表征/图画/复印件,1,1,1.0
文章,19548,V2融合世界标签体系/通用分类标签/文字与信息图形/书面交流/部分/文章,19663,V2融合世界标签体系/通用分类标签/文字与信息图形/听觉交流/部分/文章,1,1,1.0
图表,19976,V2融合世界标签体系/通用分类标签/文字与信息图形/视觉传达/图表,19978,V2融合世界标签体系/通用分类标签/文字与信息图形/视觉传达/图表,1,1,1.0
山龙眼属植物,20587,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/山龙眼属植物,20589,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/山龙眼属植物,1,1,1.0
铁线莲,21315,V2融合世界标签体系/通用分类标签/植物/草本竹藤植物/藤本植物/攀登者/铁线莲,21350,V2融合世界标签体系/通用分类标签/植物/草本竹藤植物/藤本植物/铁线莲,1,1,1.0
松果菊,21769,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/松果菊,21770,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/松果菊,1,1,1.0
漆姑草,21788,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/漆姑草,21790,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/漆姑草,1,1,1.0
羽衣甘蓝,22323,V2融合世界标签体系/通用分类标签/植物/草本植物/十字花科植物/羽衣甘蓝,29066,V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/十字花科蔬菜/卷心菜/羽衣甘蓝,1,1,1.0
假松露,22982,V2融合世界标签体系/通用分类标签/真菌与微生物/菌类/假松露,22984,V2融合世界标签体系/通用分类标签/真菌与微生物/菌类/假松露,1,1,1.0
诊所,23221,V2融合世界标签体系/通用分类标签/组织机构与社会事件/组织机构/医疗机构/诊所,23223,V2融合世界标签体系/通用分类标签/组织机构与社会事件/组织机构/医疗机构/诊所,1,1,1.0
乐团,23630,V2融合世界标签体系/通用分类标签/组织机构与社会事件/音乐组织/乐团,23632,V2融合世界标签体系/通用分类标签/组织机构与社会事件/音乐组织/乐团,1,1,1.0
山坡,24109,V2融合世界标签体系/通用分类标签/自然景观/侧面/山坡,24111,V2融合世界标签体系/通用分类标签/自然景观/侧面/山坡,1,1,1.0
冠饰,24118,V2融合世界标签体系/通用分类标签/自然景观/冠饰,24120,V2融合世界标签体系/通用分类标签/自然景观/冠饰,1,1,1.0
恒星,24171,V2融合世界标签体系/通用分类标签/自然景观/天体/恒星,24172,V2融合世界标签体系/通用分类标签/自然景观/天体/恒星,1,1,1.0
酒吧,24238,V2融合世界标签体系/通用分类标签/自然景观/天然高地/山脊/酒吧,24292,V2融合世界标签体系/通用分类标签/自然景观/机制/屏障/酒吧,1,1,1.0
水坑,24463,V2融合世界标签体系/通用分类标签/自然景观/水坑,24465,V2融合世界标签体系/通用分类标签/自然景观/水坑,1,1,1.0
仪式,25940,V2融合世界标签体系/通用分类标签/行为动作/仪式,25941,V2融合世界标签体系/通用分类标签/行为动作/仪式,1,1,1.0
伸出,26046,V2融合世界标签体系/通用分类标签/行为动作/伸出,26048,V2融合世界标签体系/通用分类标签/行为动作/伸出,1,1,1.0
挤,26593,V2融合世界标签体系/通用分类标签/行为动作/推进/推/加压/挤,26595,V2融合世界标签体系/通用分类标签/行为动作/推进/推/加压/挤,1,1,1.0
攻击,26644,V2融合世界标签体系/通用分类标签/行为动作/攻击,26645,V2融合世界标签体系/通用分类标签/行为动作/攻击,1,1,1.0
墨西哥卷饼,28832,V2融合世界标签体系/通用分类标签/食物/一道菜/墨西哥卷饼,28834,V2融合世界标签体系/通用分类标签/食物/一道菜/墨西哥卷饼,1,1,1.0
晚餐,29025,V2融合世界标签体系/通用分类标签/食物/一餐/晚餐,29027,V2融合世界标签体系/通用分类标签/食物/一餐/晚餐,1,1,1.0
软糖,29391,V2融合世界标签体系/通用分类标签/食物/摩托人力车/甜食/糖制食品/软糖,29393,V2融合世界标签体系/通用分类标签/食物/摩托人力车/甜食/糖制食品/软糖,1,1,1.0
预拌混凝土,29398,V2融合世界标签体系/通用分类标签/食物/方便食品/预拌混凝土,29826,V2融合世界标签体系/通用分类标签/食物/食品/混合物/混合物/预拌混凝土,1,1,1.0
波尔多红葡萄酒,29625,V2融合世界标签体系/通用分类标签/食物/致醉物/葡萄酒/波尔多/波尔多红葡萄酒,29649,V2融合世界标签体系/通用分类标签/食物/致醉物/葡萄酒/红葡萄酒/波尔多红葡萄酒,1,1,1.0
繁荣,30523,V2融合世界标签体系/通用分类标签/声音/繁荣,30524,V2融合世界标签体系/通用分类标签/声音/繁荣,1,1,1.0
最小值,31352,V2融合世界标签体系/通用分类标签/时间数量与度量/不定量/少量/最小值,31364,V2融合世界标签体系/通用分类标签/时间数量与度量/不定量/局限/极值/最小值,1,1,1.0
公制重量单位,31383,V2融合世界标签体系/通用分类标签/时间数量与度量/公制单位/公制重量单位,31608,V2融合世界标签体系/通用分类标签/时间数量与度量/质量单位/公制重量单位,1,1,1.0
公制长度单位,31385,V2融合世界标签体系/通用分类标签/时间数量与度量/公制单位/公制长度单位,31549,V2融合世界标签体系/通用分类标签/时间数量与度量/线性单位/公制长度单位,1,1,1.0
惰性气体,31623,V2融合世界标签体系/通用分类标签/材料与物质/元素/惰性气体,31847,V2融合世界标签体系/通用分类标签/材料与物质/流体/毒气/惰性气体,1,1,1.0
羊毛,31662,V2融合世界标签体系/通用分类标签/材料与物质/动物材料/动物产品/动物纤维/羊毛,31751,V2融合世界标签体系/通用分类标签/材料与物质/天然纤维/天然纤维/动物纤维/羊毛,1,1,1.0
柯巴脂,31691,V2融合世界标签体系/通用分类标签/材料与物质/化合物/有机化合物/松香/天然树脂/柯巴脂,31813,V2融合世界标签体系/通用分类标签/材料与物质/植物材料/植物产品/天然树脂/柯巴脂,1,1,1.0
氢氧化物,31694,V2融合世界标签体系/通用分类标签/材料与物质/化合物/氢氧化物,31695,V2融合世界标签体系/通用分类标签/材料与物质/化合物/氢氧化物,1,1,1.0
反对,32030,V2融合世界标签体系/通用分类标签/知识与学科/反对,32031,V2融合世界标签体系/通用分类标签/知识与学科/反对,1,1,1.0
